SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_ID,PLAYER_NAME,SEASON
22021,1630173,0022100029,2021-10-23,TOR vs. DAL,L,33,4,9,0.444,0,1,0.0,2,3,0.667,3,9,12,3,0,0,1,3,10,3,1,1630173,Precious Achiuwa,2021-22
22021,1630173,0022100020,2021-10-22,TOR @ BOS,W,25,6,13,0.462,1,2,0.5,2,2,1.0,3,12,15,0,1,0,0,0,15,16,1,1630173,Precious Achiuwa,2021-22
22021,1630173,0022100006,2021-10-20,TOR vs. WAS,L,19,3,8,0.375,0,0,0.0,0,2,0.0,3,4,7,2,1,0,1,4,6,-6,1,1630173,Precious Achiuwa,2021-22
22022,1630173,0022201221,2023-04-09,TOR vs. MIL,W,28,6,11,0.545,2,5,0.4,0,0,0.0,1,12,13,1,2,0,2,2,14,9,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022201206,2023-04-07,TOR @ BOS,L,24,6,10,0.6,1,3,0.333,3,3,1.0,2,5,7,0,1,0,0,3,16,-9,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022201192,2023-04-05,TOR @ BOS,L,20,7,11,0.636,1,2,0.5,1,1,1.0,4,5,9,0,0,1,1,2,16,-4,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022201176,2023-04-04,TOR @ CHA,W,15,4,8,0.5,2,4,0.5,2,2,1.0,1,3,4,1,1,0,0,1,12,9,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022201163,2023-04-02,TOR @ CHA,W,13,4,7,0.571,0,1,0.0,0,0,0.0,1,2,3,0,0,0,1,0,8,6,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022201150,2023-03-31,TOR @ PHI,L,7,2,5,0.4,0,2,0.0,0,0,0.0,1,0,1,0,0,1,0,0,4,-3,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022201132,2023-03-28,TOR vs. MIA,W,25,5,10,0.5,2,5,0.4,0,0,0.0,2,7,9,2,1,1,2,1,12,1,1,1630173,Precious Achiuwa,2022-23
22022,1630173,0022201119,2023-03-26,TOR vs. WAS,W,6,1,2,0.5,0,1,0.0,0,2,0.0,2,0,2,0,0,0,1,1,2,-10,1,1630173,Precious Achiuwa,2022-23
